Date	Open	High	Low	Close*	Adj Close**	Volume
Mar 31, 2021	299.00	307.50	297.50	301.80	301.80	58,569,012
Mar 30, 2021	300.50	301.30	292.70	297.05	297.05	45,257,233
Mar 26, 2021	290.50	301.40	290.50	296.40	296.40	80,924,011
Mar 25, 2021	294.00	294.00	282.25	285.55	285.55	84,528,317
Mar 24, 2021	303.55	305.00	293.20	294.45	294.45	61,523,819
Mar 23, 2021	305.00	312.25	304.00	307.40	307.40	60,240,483
Mar 22, 2021	306.45	307.50	300.10	303.05	303.05	56,385,019
Mar 19, 2021	303.50	311.00	290.20	308.95	308.95	109,932,681
Mar 18, 2021	311.00	316.60	299.75	307.00	307.00	73,731,921
Mar 17, 2021	318.60	320.00	304.00	305.80	305.80	47,262,481
Mar 16, 2021	321.00	321.90	315.10	319.95	319.95	39,267,404
Mar 15, 2021	320.00	320.40	310.05	318.55	318.55	45,081,385
Mar 12, 2021	325.05	326.50	314.15	317.55	317.55	48,360,842
Mar 10, 2021	319.50	324.45	316.70	321.45	321.45	58,643,853
Mar 09, 2021	325.00	328.35	309.60	315.20	315.20	74,702,208
Mar 08, 2021	331.75	331.75	318.80	321.25	321.25	81,925,952
Mar 05, 2021	333.00	337.85	319.70	325.15	325.15	86,738,909
Mar 04, 2021	339.00	345.40	337.30	339.20	339.20	59,863,169
Mar 03, 2021	348.65	357.00	346.50	348.50	348.50	92,006,451
Mar 02, 2021	331.10	347.20	326.45	345.75	345.75	127,708,761
Mar 01, 2021	330.00	331.85	322.70	328.30	328.30	61,190,868
Feb 26, 2021	323.00	332.95	318.85	322.95	322.95	91,901,339
Feb 25, 2021	325.35	334.70	323.25	333.15	333.15	64,514,912
Feb 24, 2021	325.00	330.00	316.50	321.65	321.65	50,821,757
Feb 23, 2021	308.50	328.90	308.50	324.00	324.00	133,310,157
Feb 22, 2021	312.45	313.90	302.15	304.50	304.50	57,723,298
Feb 19, 2021	321.95	321.95	301.40	311.85	311.85	80,274,683
Feb 18, 2021	331.50	331.75	321.10	323.85	323.85	49,204,247
Feb 17, 2021	326.90	334.25	325.45	330.15	330.15	52,150,941
Feb 16, 2021	335.45	337.90	327.50	329.20	329.20	65,943,843
Feb 15, 2021	329.90	335.80	324.00	333.35	333.35	78,680,452
Feb 12, 2021	326.40	330.50	321.25	325.40	325.40	64,093,642
Feb 11, 2021	326.45	331.35	323.40	325.00	325.00	55,257,166
